id	document	label
11407	호들갑 떨지 마라!!!	0
11408	 국가적인 원수!	0
11409	정부새기들아 효과없으면 다시 내려야지	0
11410	 중국산이 훨 낫겠다.	0
11411	악플만키우잖아요ㅡㅡ	0
11412	애라이 저거 훔쳐가는 놈들 , 천벌 받는다	0
11413	지금의 혼란이 누구때문인데?	0
11414	어쩌피 국민들은 개돼지입니다.	0
11415	 공무원 놈들이 문제~~!!!	0
11416	공무집행 방해로 그냥 싹 다 집어 쳐 넣읍시다.	0
11417	어쩌라고 그 따그로 쳐만들고 쳐 팔고 새차로 바꺼주던가	0
11418	 기자야. 펑펑 폭탄처럼 터지고 있는데 전 국민을 호구로 아나.	0
11419	폰으로 얼마나 낚을라고!	0
11420	산재로 백혈병 걸린 직원 500만원 주는건 아깝고정유라 말 몇십억원은 안아깝고.	0
11421	조만간에 니네들이 반드시 천벌을 받을 것이고 망 할것이다~!!	0
11422	이름 더럽히지 마라.	0
11423	 언론이 가장빠르네 빌어쳐먹을 깡패국가	0
11424	나라꼴이 왜이럴까?	0
11425	차우찬은 제발 낄때껴라 ...	0
11426	모두에게 공개하라 ㅡ박근혜	0
11427	 이런 쳐 죽일놈들.	0
11428	 최순실이거 빼돌린재산 국가환수 시켜서 나라 빚갚자고!!	0
11429	정현욱이 오니 최형우가 나간 것도 무슨 의미 있지 않냐?	0
11430	 일본은 위안부 사과하라 외치고 들어와라	0
11431	수조원도둑놈을 놔두면 누굴처벌할수있는가	0
11432	진짜 노답이다.	0
11433	연설문을 보니 아무생각없는것같다.	0
11434	 부모의 인성수준이나 그 아들의 반성정도가 이미 도를 지나쳤는대 저 2명이 사람이냐?...	0
11435	 북한하고 잘해봐라.	0
11436	 강화해도 시원찮을법에 감경이라니..	0
11437	지네들이 뭐라고 저딴사진을 찍냐?	0
11438	입부터 털지말고 해라!!!!	0
11439	미국 불체자 추방해라!	0
11440	기다려? 쳐맞고싶냐ㅡㅡ	0
11441	이 돌으신년 빨리좀 끌어 내릴 수 없나...	0
11442	지긋지긋하다 문제 안되는걸로 문제제기하면 본인그룹 욕먹는것도 모르고 으휴 ㅉㅉ	0
11443	누진세라도폐지해라 진짜짜증난다	0
11444	멍청한넘들 왜 박근혜를 찍었냐???????????????????????????	0
11445	노대통령 탄핵때 뒤돌아 가면서 처 웃는 꼬라지 정말 그 입을 아주 찢 고 싶을 정도다!!!	0
11446	닭근혜도 쓰레기짓한거 맞는데 막말로 역대 전권들 다들 블랙리스트식의 인사및지원했잖아...	0
11447	 이러니 범죄자들이 판치지	0
11448	5.18, 4.19때도 당신들은 집에서 놀았을거야..	0
11449	박군혜리 순시리 이 둘이 이렇게 해먹는게 방관만한 관료들 모두 처벌받아야지.	0
11450	십베가리새끼들 잡아다가 멱따고 싶네.	0
11451	제발 저런짓 좀 하지맙시다	0
11452	26일 청와대 처들어가서 진짜 대 ㄱㅏ리잡고 끌고나와 광화문에서 사지를 갈기갈기 찢어버려야한다	0
11453	 박빠들 도대체 니들 논리가뭐냐 ?????	0
11454	이런상태오기전 물러나야하는게 정상아닌가??	0
11455	 정말 탄핵안되면 나라 뒤집어 질 줄 알아라...	0
11456	가혹같은소리하네18....	0
11457	 그렇게 살지마라 사람쳐죽여놓고 뭐하는거냐?	0
11458	 당신때문에 고통속에 죽어간 억울한 수많은 약자들을 기억해	0
11459	그래도 나한테 그러면 안되는거 아니였어?	0
11460	아 진짜 사람 아프게 하는 쓰레기들다 뒤졌으면 좋겠다	0
11461	내가 사람같지도 않았니?응?	0
11462	 부인이 자꾸 자기 혼자 더 놀다 온다고 합니다 ㅡㅡ	0
11463	인수인계고 모고 어느날 사표 던지고 나올거같네요.	0
11464	 그냥 떨어지자니 복수하고싶네요	0
11465	또읽씹이네요	0
11466	 쓰레빠가 왠말입니까.	0
11467	 진짜 빡쳐뒤질꺼같아요	0
11468	 제가 개한테 무시당할사람이 아니라서 더더욱 화가나구요	0
11469	그딴거 제발 ,방잡고 니네둘이해라	0
11470	근데 그 전여자친구가 편지를썼다는데여자친구로써 곰신으로써 뭔가 화가나네요,.	0
11471	2년다닌 회사 때려쳤습니다	0
11472	똥 싸는 걸 도대체 왜 봄?	0
11473	 제발그리고 음료수 가튼거 쏟지마세요	0
11474	순간순간 치밀어오른다	0
11475	 이런 개같은경우!	0
11476	 아빠가 맨날 잔소리에 갈구고 내가 아빠한테 무슨 말만 하면 눈감는데 그러는거 볼 때마다 화난다.	0
11477	 지금 임신 5개월 인데 그냥 이대로 죽고싶습니다.	0
11478	나치때 인간 생체실험이랑일제강점기 민중들 대상으로 한 생체실험맥락이 같은 거 이해못하냐?	0
11479	사과 필요없다니까?	0
11480	진짜 너무분합니다	0
11481	 나보다 2살 쳐 많길래 참는다	0
11482	 진짜 화나는데 이거 누가봐도 잘못한 말 맞죠?	0
11483	참고참고 다니다가 결국 그만둔다.	0
11484	 승질이 뻗쳐서 증말0	0
11485	몰카가 진짜면 큰일인데요.....	0
11486	18년동안진짜참고살았는데 나쁜놈바람이나피우고큰소리치며사니좋냐	0
11487	그 사람의 본성이다 기억해라	0
11488	 어떤식으로 전남편을 아니 그자식을 제대로 법적대응을 할수있을까요 ?	0
11489	제발 이 평화를 깨지 마시지 왜 또 지랄인지...	0
11490	 난 이렇게 힘든데 새로운사람이랑 히히덕 거리고 있을생각하니속이 뒤집어지네요	0
11491	죽여버리겠어!!	0
11492	너무나 통탄할 일이다.	0
11493	저는 화장을 하지도않고 아무것도안하는데 가방에있다는이유만으로도뺏겼어요	0
11494	그 강간범은 당시가 기억이 나지 않는다고 말합니다.	0
11495	 왜자꾸 케익을 사와!!	0
11496	다음버스 기다리면서 너무 화가나서요..	0
11497	정말 죽이고싶고 죽이고싶고 죽이고싶습니다	0
11498	제대로 이야기해보지도 않고 떠나간 남자친구에 대한 분노가 사그라들지가 않아요.	0
11499	몇시간동안 손님머리카락 한올도안보이더니꼭 뭐좀 먹으려고하면 손님들 들이닥치더라	0
11500	조만간 소액사기 친 인간 꼭 돈 다 받을 꺼에요.	0
11501	정준영 무죄면 다시 1박2일 나오게 해주세요 . 짜증나는년	0
11502	박근혜한테 호통좀 쳐줘요!!!	0
11503	저런 쓰레기들 진짜 암것도 못하게 해야한다	0
11504	기상청접어라 아예 너희들 무슨자격으로 일하냐	0
11505	사당 진출입로 폐쇄해라	0
11506	차라리 예보를 하지마라 날더운데 개약오르네	0
11507	G5 유저들 교환이나 해줘라 개...새들아	0
11508	여자를 혐오해서가 아니라 가해자가 정신병자인거다 나도 여자지만 저런 억지는 짜증난다	0
11509	대응하지 말고 지금이라도 내려와라	0
11510	계란값 헐값일때 빵값 안내렸잖아요	0
11511	이참에 삼성이재용 뜨거운 맛을보여줘야한다	0
11512	일베와 국정원 댓글부대는 다음정권때 철저한 조사 필요하다	0
11513	얘까지 대통령 해먹으면 그땐 끝장이다	0
11514	위증 걸리면 사형시켜야 구라 안칠꺼다	0
11515	나 청와대 한번만들여보내주면안대냐 닭근혜 아구창 함만때리자	0
11516	언제부터 품위같은게 있었다고	0
11517	도대체 이승연은 왜 나오지	0
11518	그냥 거기서 썩어라 올 생각도 갈 생각말고 제발	0
11519	중국 욕할거 없는 바퀴벌레 새끼들 어쩌면 그 이하일수도	0
11520	정준영 방송계에서 영구퇴출시켜야된다	0
11521	얼굴에 대고 통화하다 터져야 정신차릴인간들	0
11522	저렇게 다이어트하고 이쁘면 뭐함 역사도 모르는데	0
11523	월곶피아노속셈학원 원장은 애들 태우는 학원차로 음주운전한다	0
11524	국민대사기 정부 박근혜 당장 탄핵하라.	0
11525	양심이 없어 이건 매로도 안된다	0
11526	전기료나 내려줘라 에어컨이나 제대로 틀게	0
11527	떳떳하면 숨기려고 안하겠지.	0
11528	싸게팔면 저딴짓 하겠나 세금을 너무걷으니 문제지	0
11529	누구를 위한 개정인가?	0
11530	사드 배치보다 이게 더 동북아시아에 위협주는 행동아닌가?	0
11531	제목만봐도 욕이 절로나오네요	0
11532	미용게이트 어쩌고 집어치우고 세월호 당일 어떠것들이 구조못하게 했는지 밝혀내라고 쓰레기들아!!!!!!!!	0
11533	아 진짜 테러리스트 죄다 색출해서말려 죽여야 한다	0
11534	미친, 고작 생각해낸 핑계가 기억못한다는 말이냐??!!	0
11535	우리나라 노인들은 도움되는게 없다 진짜 후..	0
11536	진짜 무섭고 소름돋는다 자기 자식이어도 저런 소리를 할 수 있을까...	0
11537	콩가루라고 붙이기도 아까운 집안이다.	0
11538	성인 이기에 법적 처벌 받아야한다	0
11539	똘아이들... 골프공이랑 홀속으로 빨려들어갈 것들...	0
11540	가면벗어라 니네당당하다며??왜얼굴가리냐	0
11541	누누히 말하지만 사생은 팬이 아님 그냥 스토킹범죄자일뿐	0
11542	공범들이들어나고있는데 주범이없을수가있나???	0
11543	중국이 진짜 보복들어오면 불법어업으로 넘어오는 중국해적어선들 다 함포도 침몰시켜 수장해야한다.	0
11544	투지라고는 찾아볼 수 없는것들	0
11545	탄핵 안가면 300만 촛불이다!!!!!!	0
11546	자동문으로 바꾸면서 얼마나 헤쳐드실라고???	0
11547	정상적인 뇌구조라면 적어도 이기사에는 미안해서라도 악플 못 달겠다.	0
11548	와서 벌 받고 전재산뺏기고나서 보내주지말라고 애원해도 덴마크에 쳐박혀살게해줘라	0
11549	세금은 여기저기서 다떼가는데 떼감과에 동시에 저런데에 한방에 날려버리니 안빡1칠수가없다.	0
11550	더러운 쥐와 닭을 철저히 수사하여 평생 감옥에서 썩혀야한다	0
11551	이준식 국민과 역사앞에 사죄하고 물러나라!	0
11552	자살하지 말고 가해자를 쏴라	0
11553	타고가는 시간보다 타기위해서 역까지 가는시간이 두배나 더걸린다	0
11554	쓰레기도 아깝다	0
11555	들통날 거짓말을 뭘 그리 짜증내면서 하셨을까..	0
11556	기업윤리 의식좀 각성해라	0
11557	김치년들 군대도 안가고 편한일만 하고 의무도 없자나	0
11558	차인표 라미란이 그냥 베스트커플하나로 끝이라니 ㅡㅡ	0
11559	이런거 신경쓰지 말구 제발 큰 덩어리 부터 뭐가 잘못됬나 그거부터 신경써라.	0
11560	중국어선을 폭파시켜라.	0
11561	다 죽으라는 거냐 대책도 없고 무능한 정부	0
11562	입만열면 구라네 구라청ㅋㅋ	0
11563	중졸에 대한 모욕이다	0
11564	이완용....당신은 옳았습니다 조선은 독립할 자격이 없어요	0
11565	방귀 낀 놈이 성 낸다 더니. 어이가 없네.	0
11566	제발좀 내려와요 !!!!!	0
11567	공동화장실에 똥딱아버리는 휴지통이나 없애라	0
11568	너희들은 존재자체가 불쾌야 역겨운세끼들아	0
11569	인스타 블로그 같은데서 브랜드의류를 왜사 당연히 다 짭이지ㅡ.ㅡ	0
11570	관련된 교사 교수들 모두 구속시켜라.	0
11571	저런 파렴치한이 한국을 말아먹고 있었구나.	0
11572	사형제도를 부활해야해!!	0
11573	댓글알바들도 박근혜.이명박한테는 개돼지들일텐데 부끄럽지도 않나	0
11574	사대기업 총수들에게도 국가내란죄에 해당하는 엄벌을 내려야한다	0
11575	발악을 하는구나 니죄는 온국민이 다알아!!	0
11576	또 시작이구나.사기꾼 새끼들.	0
11577	어따대고 폭동이래?	0
11578	 이슬람은 악의 축이다	0
11579	새해부터 거짓말로 한해 시작하는 사람도 있내요	0
11580	려성가족부를 폐지해야됩니다.	0
11581	조사필요없이 무기징역때리고 깜빵에 처넣어라.	0
11582	매번 논란일으키고 사과하고 그러는데 왜 못고치니?	0
11583	기껏해서 총장 만들어쥤더니 아무일도 안하고 대통령 하겠다고 설치니...	0
11584	탈세범은 축구장이 아니라 감옥으로 가야지	0
11585	국가 망신 가중 처벌 안되나요?	0
11586	비정규 누가 만들엇나	0
11587	지저분하게 시간끌기 하지 말고 즉각 퇴진하라	0
11588	이모든것은 이씨조선 이 만들어낸 헬조선인것이다	0
11589	왕기춘 왜 가만나두냐?	0
11590	답이 없는 인간들...싹다 총살..	0
11591	쓰레기는 좀치우자 엿같은것들아	0
11592	여태 준거 다 환수하자	0
11593	국정교과서 그따구로 쓰기만해봐라. 철회해이것들아.	0
11594	국민이 고통받은거 생각하면 고문이라도 해야한다고 생각한다.	0
11595	쥐 어이구 추잡한 쥐들아 사라져라	0
11596	위안부는 나라 말아 먹고 점령당한 한국탓이다	0
11597	다른 나라도 한국외교관들 조사해야 할듯!!!!!! 썩은 놈들 많네!!!!!	0
11598	광화문으로 끌고와 공개처형해야한다	0
11599	불법조업선박에 대포알 다섯개씩 박아버려	0
11600	뭐하는 짓인지 모르겠네요	0
11601	국가공무원 업무량도 헬조선인데 개돼지백성들은 말해뭐하랴	0
11602	미친 쪽바리ㅅㄲ들 욕이 안나올수가 없네- -;;	0
11603	신이 자기 이름팔아 악행만 벌이던 이슬람에 철퇴를 가하는것.	0
11604	짱꼴라들이 쥐약을 먹었나 제정신이 아니네ㅉㅉ	0
11605	이재용이 뇌물죄보다도 더 충격적이고 더욱 혐오감증오심이 든다	0
11606	칠레시민들 저놈 그냥 산속에다 파묻어버리세요.	0
11607	세상에 자기가 잘못해놓고 자기를 지키려고 용병을 산 그네야 넌 사형감이다	0
11608	만화에 저 콧수염 남자, 딱 쪽바리 친일파 색히들 같네.	0
11609	닭년이 정권잡은뒤로 역사상 최고로 개 같은 나라가 됐다	0
11610	설현으로 누진세를 막을 수 있을거라 생각했냐?	0
11611	성난 민심에 기름을 제대로 붓는 꼴.	0
11612	박근혜 정부 정말 나라 안팍으로 시끄럽네	0
11613	세상 좋아졌다, 저런 쓰레기 같은 인간들이 민주주의를 운운하니..	0
11614	변호인단 구성하는것도 세금에서 나가는건가요?	0
11615	감빵가서 엄마 등이나 타고다녀라~	0
11616	야밤의 공동묘지 가운데에 포켓몬 나오게 해라...	0
11617	황사때문에 닦느라 볼일다본다	0
11618	진짜 입만 열면 거짓말이네뻔뻔해도 진짜	0
11619	최초보도한 기자도 명예훼손죄로 고소해주세요	0
11620	겨울바다에 쳐 넣을년	0
11621	인간이라고 할 수 없는 것들	0
11622	국민을 개바보로 아세요 당신들도 억지 변호하면서 양심에 찔리지 않으세요	0
11623	일단 책임지고 나가라	0
11624	우리아파트에 주차할때 옆에 남못대도록 애매하게주차하는사람있는데 정말 몰상식이다..	0
11625	이새끼 말바꾸는거봐라	0
11626	베트남이 왜 망했는지 교훈을 보고도 정신못차린 미개한 국민들 북한처럼 살고 싶어 환장한듯	0
11627	인간말종에 재활용도 안되는ㅆ 레 기 인성을 가졌군.	0
11628	중국폰, 중국 자동차들 수입해서 자국민 가지고 노는 쓰레기 기업 싹 부도나라!!!오죽하면 헬조선이라하겠는가!!!	0
11629	이름대로 하네 우리나라를 떠나라	0
11630	이런 순실이사건을 변호하는 변호사는 뭐냐?	0
11631	헌법질서 파괴하고 끝없는 죄를 지은 박근혜는 아빠따라 잔인하게 죽어야한다	0
11632	곱게 미쳐라	0
11633	구라청 쉴드기사 얼마에 쓰는거냐?!	0
11634	남자가했으면 감옥 여자가하면 장난	0
11635	역대 최악의 졸전이였다	0
11636	개누리 너들은 끝났다	0
11637	진짜 사나이나 폐지해라	0
11638	세월호 화물칸 진상규명하라!!!	0
11639	친일파넘들이 정한 법 쓰레기	0
11640	미개인이 사는나라네저딴 법도 법이냐?	0
11641	개편은 개뿔. 더 뜯어보자는 거지 뭐	0
11642	두놈다 구속수사..진심 쓰레기셀	0
11643	자식은 개뿔의 자식, 자식을 한뼘 되는 땅에 2~30명 몰아넣고 키우냐?	0
11644	여기서 쉴드치는 빠순이들은 나중에 남편이 노래방에서 여자도우미 불러서 놀아도 용서해줄 여자들일세...	0
11645	상대선수가 의도적으로 눈을 노리고 펀치를 날린게분명해보인다	0
11646	남자라면 군대가고 현역으로 당당히 입대하고 전역해라	0
11647	폭염주의보만 내리지말고 공휴일 좀 내라고.	0
11648	도대체 이정부는 머하는 정부냐	0
11649	김영재. 저 뻔뻔하게 낯짝을 까고 구라를쳐?에라이 돌맞을 인간아.	0
11650	나라가 망할려고 이러는구나.	0
11651	이나라는 믿을게 하나도없어	0
11652	너나 미치지마라. 어디서 국민이미쳤다고 하고있냐. 미친자야	0
11653	원숭이가 죽었는대머? 다죽었음 좋겠다야 ㅡㅡ	0
11654	평생 써도 못 쓸 돈인데 왜 탈세하는지 모르겠네	0
11655	반역자 새끼. 니 앞날이 뻔하네. 배신자 새끼들은 결국 종말이다.	0
11656	대모도돈받고하는 더러운국민성!!	0
11657	재주는 말이 부리고 상은 정유라가 타고 그 말은 삼성이 아주고 그 삼성 3대세습에 국민연금이 뜯기고	0
11658	젊은세대에게는 헬조선늙은세대에게는 지옥조선.	0
11659	미국은 우리나라 교훈 받아서 여자대통령 뽑지마라 ^^	0
11660	어째 기상청이 더 혼란스럽게 만든다 ㅡㅡ	0
11661	외국과는 반대로 가솔린차에 세금 폭탄 때리더니 결국 이꼴 나는군.	0
11662	나같음 죽엿다	0
11663	북극에 얼음이 녹고있는데 불난곳에 부채질하냐?!	0
11664	슈돌보면 아주 존나 편하게 돈버니 인성이 그모양이요?	0
11665	열심히 일하는 대다수 인원 욕 먹이지맙시다.	0
11666	겨우 2년 어이가없네 꽃뱀 공화국답다	0
11667	발열이 존나 심함 나 화상입을뻔	0
11668	게임업게 이렇게 쳐 말아먹은게 누구누구들이더라?	0
11669	별똥별이고 나발이고 출근한다~~이시간에..나오면서 집안 온도계 보니까 35도 더라 죽겠다	0
11670	김경문 믿음의 야구는 개뿔	0
11671	시간끌기해서버티기진짜지긋지긋하다	0
11672	1조정도 때려라 정신 못차리게	0
11673	뻔뻔한것들,,. 하나같이 똑같네.	0
11674	정신나간 여자를 대통령에 앉혀놨으니....	0
11675	이참에 초등학교도 조사해라!!	0
11676	다감방안넣으면 두고봐	0
11677	진짜 is넘들 지옥불에 떨어져서 갈아마셔도 아깝지 않을 넘들임	0
11678	나라가 잘살려면 귀족노조들과 종북세력들 뿌리 뽑아야 한다.	0
11679	강자만을 위한 법 신물난다	0
11680	역시 그 드러운피는 못속이는구나	0
11681	이런 개같은 개한민국 언제 정신차리나	0
11682	저런것도 인간이라고...	0
11683	시청자 우롱하냐?	0
11684	층간소음때매 잘수가있어야지	0
11685	국내 소비자는 병신취급	0
11686	모든것을 정치적으로 해석하는구나..좌빨들...	0
11687	생리대 너무 비싸!!!!!!!!!!!!!!	0
11688	비온다고해서사장차안딱았안는데비안와서존나게맞았다.구라청책임져라.	0
11689	한화는당장 감독 경질해라	0
11690	장난하냐..??NC한테 돈 얼마 받았냐?	0
11691	엄마라는 숭고한이름 아무데나 갖다붙이지 마라ㅡㅡ	0
11692	저런 흉기차 미치지 않는이상 안사는게 답이다	0
11693	이런뇬을 뽑은것들은 손가락에 죄다 장지져라	0
11694	더 나아가 여의도로 가서새누리당을 해체 시킵시다.	0
11695	방안을 강구하지말고 반드시 몰수해라 알거지 만들어라!!	0
11696	특검은 불랙 리스트를 소환 하여 긴급체포해라!!!!	0
11697	미친것들!!	0
11698	김앤장 로펌 니들은 나중에 역사의 심판대에 서게될거다 자손대대로	0
11699	무식한게 고집만 쎄가지고..	0
11700	저렇게 뻔뻔한 개시키ㅣ도 드물듯.	0
11701	이제 화염병 들 때가 됐다~	0
11702	개패듯이 패고싶다.	0
11703	초기대응 실패한 공무원들 모조리 파면시키소	0
11704	내가 한국살면서 젠틀맨 만나본게 다섯손가락도 못채워본듯함...개저씨소굴	0
11705	도대체 국민들에게 얼마를 해처먹길래 주파수를 조단위로 팔아도 남는거냐	0
11706	아 날씨 참 죷같네	0
11707	IS와 북한은 사회 악 인듯	0
11708	엘지 죽어라 그냥 후진것들	0
11709	이딴걸 가르치게 부모가 놔둘 것 같으냐!	0
11710	김성근감독 진짜 나쁜인간이네요	0
11711	개구라청 왜케 변해 니기미 풀린다해서 약속 잡았는디	0
11712	법이 있으면 뭐하나 무용지물인걸	0
11713	팔다리에 포승줄로 꽉꽉 소에다가 매달고 달리게 해서 팔다리를 찢어야한다	0
11714	전재산몰수가 구호로 변해야합니다!!!	0
11715	아가리를 찢어 버리고 싶다 아후 썅	0
11716	나라 잘돌아간다 진짜	0
11717	법이필요없는 년 비오는날먼지나도록패야해	0
11718	여가부가 한짓이 쓰레기짓거리였다는거를 인정하는거지 지금?	0
11719	최순실은 왜 죄수복 안입나요?	0
11720	닭이랑 계란이 나라를 뒤흔드네	0
11721	국가 내란 주모자 박근혜를 총살하고 농단자 최순실과 그 잔당들을 모조리 화형에 처하라....!	0
11722	월급이 주거, 생계비 쓰고나면 남는데 없는데!!!?	0
11723	사람죽이고 고작 8년?	0
11724	하여간 미개한놈들 기사를 읽기만해도 저런 개소리를 안 뱉을텐데..	0
11725	이슬람은 is조직 살인무장단체 모두 무기징역이다	0
11726	정상근무 했다는 년이 오후에 기어나와서 구명조끼 입었는데 찾기어렵냐는 그런 개소리를 하냐.	0
11727	나라를 엉망으로 해놓고 잘못업다는 너희들은 극형으로 다스려야 한다	0
11728	국정원 과 그들의 알바들이 지금까지 세월호 유가족 을 괴롭히고 잇다.	0
11729	중고등학교에서 이러이런게 성범죄고 얼마만큼 형벌을 받는다는 교육을 시켜라	0
11730	오늘 아침에 빡쳤음ㅡㅡ	0
11731	칼만 안들었지 저 쓰레기들은 강도다	0
11732	정말 열받네.	0
11733	변호사는 개소리 좀 그만하고	0
11734	제작진이 시청률에 눈 뒤집혀서 쓰레기같은 짓을 했네!!	0
11735	이번에도 헛소리하면 정말 참을 수없을거같다.	0
11736	분명 강압수사했어	0
11737	비온다해놓고 부산에 비 1도 안옴ㅡㅡ	0
11738	기각하면 디진다	0
11739	이 일에 관련되어있는 한 그룹의 팬으로써 이번사과문은 실망스럽고 화가나네요	0
11740	 이재용 아가리에 집어넣고 충전이나 해라	0
11741	 주최측도 좌빨 그대로다.	0
11742	 불평하려면 일을 해서 번 돈으로 사처먹던가.	0
11743	성범죄는 제발 엄중히 다스렸으면 합니다.	0
11744	지 애비가 만든 고문실에 가둬서 다 불게해라	0
11745	대한민국 국민의 한사람으로서 정말 개쪽팔리다.	0
11746	 자식들한테 쪽팔리지않냐.	0
11747	지금 상황 같아선 전국민 들고 일어나서 청와대로 진격하고 싶다.	0
11748	이러는 국민연금을 왜 강제로 걷나.	0
11749	 이번기회에 완전 매장시켜라	0
11750	잡아서 거세합시다	0
11751	 아주 듣기가 싫다.	0
11752	 이제는 화가납니다.	0
11753	 그놈이 욕하면 나도 욕하고 만지면 낭심을 걷어차버려 그래도 된다	0
11754	 죽어서도 대대손손 박근혜너는 자식이없으니 니가 그업보 죽을때까지 쳐당해라	0
11755	이게 나라냐!!!	0
11756	진정한 쓰레기들아	0
11757	박근혜 때문이다!	0
11758	 다른놈은 물라도 배신자 싸가지없다	0
11759	LG50UHTV산지 보름 만에 액정 깨져 전화했더니 내책임이란다	0
11760	왜 내 의사 상관없이 맘대로 업데이트를 하고 난리람!!!!	0
11761	친일파들은 왜 대부분 지금도 잘사냐?	0
11762	의도적으로 머리를 향해 던진거임.	0
11763	 노점상들 볼 때마다 화가 난다.	0
11764	도대체 정유라의 정체가 뭐냐!!!	0
11765	 십자가를 망령되게 사용해도 분수가 있지!!!!!	0
11766	기업만 배불리고 노동자를 착취하는 더러운 기업 문화를 가진 대한민국.	0
11767	의경힘들게하지말고 적당히좀해라..	0
11768	 그냥 문체부 해체하고 문체부 공뭔들 다 해직시켜라 꼴갑들떨고있네	0
11769	 그러고도 국정교과서 역사편찬을해????	0
11770	까고있네 이란한테 개발릴것들이	0
11771	 미군없으면 영해, 부산 앞바다에도 올놈들이다	0
11772	 니들이 공직자이기전에 먼저 인간이냐?	0
11773	저 여자는 왜 아직도 근무하지?	0
11774	 민주주의가 뭔줄이나아니?	0
11775	 별 미친 또라이들이 판을 치는구나!	0
11776	이런새끼들이 기득권을 장악하고있으니 한국은 발전가능성 제로다.	0
11777	 국가와 국민을 배신한 대통령 박근혜와 박근혜에 부역한 국가의 반역자들을 확실하게 뿌리뽑아, 불의와 불법이 나라를 좀먹지 못하도록 해야한다.	0
11778	 내 다섯달 봉급이다 이년아	0
11779	이런 놈은 평생비행기 탑승 금지시켜라..	0
11780	 뻔뻔함이 도를 넘어섰다.	0
11781	우리꺼야 내놔 도둑놈들아	0
11782	 광복이후로 주구장창 말해오고 있잖아!!	0
11783	 지가 뭔데 사람들을 때리고 함부로해ㅡㅡ	0
11784	 박근혜와 측근들 정말 치가 떨린다...	0
11785	 지깟것들이 뭔대 평가를 해!	0
11786	이제 감옥에 쳐넣어야지	0
11787	 축제랍시고 허접하게 만들어놓고 바가지 씌우고 돈벌었다고 낄낄거리라고 태어난 산천어가 아니란말이다.	0
11788	국민연금 손해봐가면서 국민혈세 축낸 일이 올바른 정책판단이냐?	0
11789	황교안은 박근혜 꼭두각시다 빨리 갈아치워라!!	0
11790	닭근혜 최순실 부역자인 기레기들 처벌하자.	0
11791	뒤에서 와서 받는데 왜 9대1이냐 보험회사 시방새들	0
11792	한국 그냥 망해라	0
11793	거짓말을 꾸며서 sns에 올려 누명을 씌운 옷가게 주인년 반드시 처참하게 없애버리겠다 .	0
11794	 서민들이 그리 만만하냐!!	0
11795	권리를 지키고 싶으면 적어도 니들끼린 상도덕을 지켜라	0
11796	 니가 실력으로 연대에 들어가??	0
11797	아니 국내 고등어 취식만 금지시키면 해결되는 문제를 왜이리 국론분열시키는고지? 고등어 먹으면 콩밥먹이면 해결된다던데 뉴스좀 보고 살지	0
11798	오전 오후도 예보 못하는 것들이 토요일 거를 예보해?	0
11799	갓틸리케는건드리는거아니다	0
